时间,公司名称,公司名称链接,行业,轮次,金额,投资方,最新估值(估算),字段1,字段2,字段3
2016-10-25,智慧树网,https://www.itjuzi.com/company/13598,B轮,3.5亿人民币,新浪微博基金,17.5亿人民币,教育,教育综合服务,MOOC,
2016-10-24,优贝乐,https://www.itjuzi.com/company/32924306,天使轮,数千万人民币,新东方国金投资,1.5亿人民币,教育,儿童早教,素质教育,
2016-10-24,Crimson,https://www.itjuzi.com/company/53091,天使轮,3950万美元,Tiger Global Management(老虎国外),12.84亿人民币,教育,教育信息化,科研学术,
2016-10-23,Healofy,https://www.itjuzi.com/company/32740036,种子轮,4万美元,Facebook,130万人民币,教育,儿童早教,母婴社区,
2016-10-21,浪潮教育,https://www.itjuzi.com/company/32345443,战略投资,1000万人民币,和君资本,5000万人民币,教育,职业培训,企业培训,
2016-10-21,Securly,https://www.itjuzi.com/company/28490,A轮,400万美元,Owl Ventures,1.3亿人民币,教育,K12,家庭教育,
2016-10-21,小熊尼奥,https://www.itjuzi.com/company/15553,B轮,2.5亿人民币,尚珹资本新天域资本GGV纪源资本华西股份(华西村)乐道兴创投高通Qualcomm Ventures方创资本（财务顾问）...,10亿人民币,教育,儿童早教,早幼教,
2016-10-20,儒思科技,https://www.itjuzi.com/company/61590,Pre-A轮,1000万人民币,磐石资本,5000万人民币,企业服务,云服务,教育媒体及社区,
2016-10-20,互联派,https://www.itjuzi.com/company/59675,天使轮,数百万人民币,梅花创投（领投）,2506万人民币,教育,职业培训,就业指导,
2016-10-20,BabyChakra,https://www.itjuzi.com/company/53014,A轮,未透露,RoundGlass,1亿人民币,教育,教育信息化,群组社交,
2016-10-20,铂略咨询,https://www.itjuzi.com/company/19080,A轮,2200万人民币,艾云创投凯风创投,1.1亿人民币,教育,职业培训,企业培训,
2016-10-19,点点未来,https://www.itjuzi.com/company/69738,A轮,数百万人民币,朗玛峰创投,1500万人民币,教育,儿童早教,家园互动,
2016-10-19,讯飞幻境,https://www.itjuzi.com/company/58568,种子轮,数千万人民币,科大讯飞,1.5亿人民币,教育,教育信息化,VR内容,
2016-10-19,夏加儿教育,https://www.itjuzi.com/company/52991,A轮,数千万人民币,昂立教育,1.5亿人民币,教育,素质教育,家园互动,
2016-10-19,SoloLearn,https://www.itjuzi.com/company/52981,种子轮,120万美元,Learn Capital,3900万人民币,教育,教辅设备,数字化教辅教材,
2016-10-18,小孩子点读,https://www.itjuzi.com/company/45266,天使轮,数百万人民币,无极道投资,1500万人民币,教育,儿童早教,早幼教,
2016-10-18,Boolan博览网,https://www.itjuzi.com/company/15375,Pre-A轮,未透露,沪江教育-互桂基金,1亿人民币,教育,职业培训,视频,
2016-10-17,奇梦者,https://www.itjuzi.com/company/69299,A轮,未透露,顺融资本好未来(学而思),1亿人民币,教育,素质教育,智能制造,
2016-10-17,爱贝睿,https://www.itjuzi.com/company/48604,Pre-A轮,数千万人民币,卓越教育安人开智,1.5亿人民币,教育,儿童早教,家庭教育,
2016-10-14,英联帮,https://www.itjuzi.com/company/29313423,天使轮,数百万人民币,华澍资本中科招商,1500万人民币,教育,出国留学,企业培训,
2016-10-14,诺贝儿教育,https://www.itjuzi.com/company/19024,B轮,7500万人民币,未透露,3.75亿人民币,教育,儿童早教,家园互动,
2016-10-13,音乐e课堂,https://www.itjuzi.com/company/33704,天使轮,数百万人民币,PreAngel,1500万人民币,教育,素质教育,音乐,
2016-10-13,MEL Science,https://www.itjuzi.com/company/45331,A轮,250万美元,Sistema Venture Capital,8125万人民币,新工业,智能装备,数字化教辅教材,
2016-10-13,Noodle Partners,https://www.itjuzi.com/company/45328,种子轮,400万美元,New Markets Venture Partners500 StartupsOsage University Partners,1.3亿人民币,教育,教育信息化,教育媒体及社区,
2016-10-12,豆贝教育网,https://www.itjuzi.com/company/33231,Pre-A轮,500万人民币,魔豆工坊弘信资本上哲永辉,2000万人民币,教育,K12,语言学习,
